"sample","sample_type","habitat","replicate","filename"
"tpos1","mock","terrestrial",1,"tpos1-1.fasta"
"tnegtag","negative",NA,1,"tnegtag-1.fasta"
"14ben01","real","freshwater",1,"14ben01-1.fasta"
"14ben02","real","freshwater",1,"14ben02-1.fasta"
"tpos1","mock","terrestrial",2,"tpos1-2.fasta"
"tnegtag","negative",NA,2,"tnegtag-2.fasta"
"14ben01","real","freshwater",2,"14ben01-2.fasta"
"14ben02","real","freshwater",2,"14ben02-2.fasta"
"tpos1","mock","terrestrial",3,"tpos1-3.fasta"
"tnegtag","negative",NA,3,"tnegtag-3.fasta"
"14ben01","real","freshwater",3,"14ben01-3.fasta"
"14ben02","real","freshwater",3,"14ben02-3.fasta"
