"plate";"marker";"sample";"sample_type";"habitat";"replicate";"filename"
"plate1";"MFZR";"tpos1";"mock";"terrestrial";1;"plate1-MFZR-tpos1-1.fasta"
"plate1";"MFZR";"tnegtag";"negative";NA;1;"plate1-MFZR-tnegtag-1.fasta"
"plate1";"MFZR";"14ben01";"real";"freshwater";1;"plate1-MFZR-14ben01-1.fasta"
"plate1";"MFZR";"14ben02";"real";"freshwater";1;"plate1-MFZR-14ben02-1.fasta"
"plate1";"MFZR";"tpos1";"mock";"terrestrial";2;"plate1-MFZR-tpos1-2.fasta"
"plate1";"MFZR";"tnegtag";"negative";NA;2;"plate1-MFZR-tnegtag-2.fasta"
"plate1";"MFZR";"14ben01";"real";"freshwater";2;"plate1-MFZR-14ben01-2.fasta"
"plate1";"MFZR";"14ben02";"real";"freshwater";2;"plate1-MFZR-14ben02-2.fasta"
"plate1";"MFZR";"tpos1";"mock";"terrestrial";3;"plate1-MFZR-tpos1-3.fasta"
"plate1";"MFZR";"tnegtag";"negative";NA;3;"plate1-MFZR-tnegtag-3.fasta"
"plate1";"MFZR";"14ben01";"real";"freshwater";3;"plate1-MFZR-14ben01-3.fasta"
"plate1";"MFZR";"14ben02";"real";"freshwater";3;"plate1-MFZR-14ben02-3.fasta"
